window,step,throughput,cumulative_throughput
1,100,5,5
2,200,3,8
3,300,2,10
4,400,6,6
5,500,1,7
6,600,2,2
7,700,4,6
8,800,1,7
9,900,5,5
10,1000,2,7
11,1100,1,1
12,1200,5,6
13,1300,1,7
14,1400,5,5
15,1500,2,7
16,1600,1,8
17,1700,5,5
18,1800,3,8
19,1900,2,2
20,2000,4,6
21,2100,1,7
22,2200,5,5
23,2300,1,6
24,2400,1,7
25,2500,4,4
26,2600,3,7
27,2700,1,8
28,2800,2,2
29,2900,4,6
30,3000,1,7
31,3100,1,8
32,3200,5,5
33,3300,2,7
34,3400,1,8
35,3500,5,5
36,3600,2,7
37,3700,3,10
38,3800,3,3
39,3900,3,6
40,4000,3,9
41,4100,2,11
42,4200,5,5
43,4300,2,7
44,4400,3,10
45,4500,5,5
46,4600,2,7
47,4700,1,8
48,4800,2,10
49,4900,1,1
50,5000,5,6
51,5100,4,10
52,5200,2,12
53,5300,1,13
54,5400,1,14
55,5500,1,15
56,5600,2,17
57,5700,2,19
58,5800,1,20
59,5900,2,22
60,6000,1,23
61,6100,5,5
62,6200,2,7
63,6300,1,8
64,6400,6,6
65,6500,2,8
66,6600,2,10
67,6700,5,5
68,6800,2,7
69,6900,2,2
70,7000,4,6
71,7100,2,8
72,7200,5,5
73,7300,2,7
74,7400,1,8
75,7500,5,5
76,7600,2,7
77,7700,3,10
78,7800,1,11
79,7900,5,5
80,8000,2,7
81,8100,2,9
82,8200,5,5
83,8300,2,7
84,8400,1,8
85,8500,2,10
86,8600,2,12
87,8700,1,13
88,8800,2,15
89,8900,2,2
90,9000,4,6
91,9100,2,8
92,9200,1,9
93,9300,5,5
94,9400,2,7
95,9500,1,8
96,9600,2,10
97,9700,2,12
98,9800,1,13
99,9900,2,2
100,10000,4,6
101,10100,2,8
102,10200,2,10
103,10300,6,6
104,10400,2,8
105,10500,2,10
106,10600,2,12
107,10700,1,13
108,10800,6,6
109,10900,1,7
110,11000,3,10
111,11100,5,5
112,11200,2,7
113,11300,2,9
114,11400,2,11
115,11500,5,5
116,11600,2,7
